iso3,pays,continent,dist_Commerciale_Fra (km),Population_2022,Bal_Imp-Exp_Poulet(kg/pers),PIB-Valeur par habitant(USD),Part de Volaille dans Alimentation(%),Part d'accès à Alimentation saine(%),Export Poulet Fr (kg/pers),Score Qualité Transport 2023 (1 à 5),Score Stabilité Politique 2023 (1 à 100)
CRI,Costa Rica,America,-8989.256,5081765,3.009989639426459,13198.821717,4.136981645139361,84.1,0.0,2.7,83.8862533569336
CYP,Chypre,Europe,-2830.626,1331370,8.885253535831511,23340.852122,3.688508396443859,98.2,0.017673524264479445,2.8,59.2417068481445
CZE,RTchèque,Europe,-995.508,10673213,6.448688881220678,27685.147534,2.678633975481611,95.8,0.07379127541069404,3.0,82.4644546508789
DEU,Allemagne,Europe,-682.0841,84086227,2.023427094665575,48901.658828,1.6884017758046614,98.0,0.4557374182100001,4.3,66.3507080078125
DJI,Djibouti,Africa,-5413.913,1137096,3.673849877231122,3571.817567,0.5477223427331888,46.4,0.031290234069946604,2.3,24.6445503234863
DNK,Danemark,Europe,-1150.822,5902904,-3.51594571078913,68029.486782,1.941536748329621,99.1,0.3703245046844739,4.1,76.7772521972656
DOM,Dominicaine (la République),America,-7231.397,11230734,4.448757311855129,10111.247239,4.315675340768277,75.2,2.136993005087646e-05,2.7,53.554500579834
DZA,Algérie,Africa,-1158.292,45477389,-0.0006376795290512391,4273.922183,0.6672433679354095,79.8,0.0,2.1,23.222749710083
EGY,Egypte,Africa,-3025.107,112618250,0.16683938882019567,3687.778269,2.913350449293967,55.6,0.0,3.0,16.5876770019531
ESP,Espagne,Europe,-817.1057,47828382,-0.553739827535876,29771.135983,3.530666666666667,91.1,0.3170215960891171,3.8,54.9763031005859
EST,Estonie,Europe,-2028.687,1350091,8.696287879854024,28693.269639,2.8699211643420255,94.9,0.09052723112738327,3.5,69.1943130493164
FIN,Finlande,Europe,-2123.761,5569299,-0.23475485873536328,50988.079784,2.679692125518058,99.2,0.007990233600314868,4.2,71.0900497436523
FJI,Fidji,Pacific,-16780.16,919422,4.778219359554154,5356.164428,4.786368260427263,41.0,0.0,2.2,72.9857788085938
GAB,Gabon,Africa,-5237.393,2430747,32.1173079715824,8427.098986,5.606583072100314,62.7,0.623376270751337,2.2,33.6492881774902
GBR,Royaume-Uni,Europe,-598.5457,68179315,3.160164780182963,45757.982653,4.119821162444113,97.5,0.12087199761393905,3.7,62.0853080749512
GHA,Ghana,Africa,-4484.769,33149152,7.100760526242119,2203.558935,1.1592520954223082,37.0,0.018736225891992652,2.4,45.497631072998
GIN,Guinée,Africa,-4367.304,14055137,4.735493506751304,1504.133807,0.5966357706831446,62.6,0.08648368208719702,2.4,16.1137447357178
GMB,Gambie,Africa,-4119.869,2636470,14.122292307517249,824.66715,3.139477977161501,56.0,0.0009596164568532924,2.3,45.971565246582
GNB,Guinée-Bissau,Africa,-4244.364,2105529,1.375621043452738,747.762697,0.48494107376691403,36.0,0.0,2.4,34.1232223510742
GRC,Grèce,Europe,-1891.254,10412480,1.5247769983711854,20923.096364,2.900235432607416,81.7,0.06953098589385046,3.7,54.028434753418
GRD,Grenade,America,-7112.1,116913,57.4561426017637,9509.250006,7.114045158821278,78.9,0.0,2.5,86.2559204101562
GTM,Guatemala,America,-9105.489,17847877,7.613514481302174,5324.132661,3.9957004657828734,56.1,0.0,2.4,36.9668235778809
GUY,Guyana,America,-7305.741,821637,0.544413165424634,18199.47484,7.6553950199815555,90.6,0.0,2.4,43.6018943786621
HND,Honduras,America,-8844.657,10463872,0.7154110830101897,3040.17308,3.7023360964581764,61.0,0.0,2.7,27.962085723877
