Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","6825.864","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","6795.803","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","21995.243","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","22509.038","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","23025.776","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","12965.481","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","13321.097","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","13689.45","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","516.649","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","519.741","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","522.331","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","16974.305","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","17201.724","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","17423.88","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","26915.758","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","27632.771","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","28372.687","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","38454.057","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","38821.259","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","39299.105","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHL","Chili","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","19456.334","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHL","Chili","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","19553.036","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHL","Chili","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","19658.835","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","1458174.603","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","1456769.951","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F351","Chine","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1454058.724","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","7484.601","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","7465.915","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HKG","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","7442.734","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","694.402","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","704.356","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","MAC","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","713.912","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","1426437.267","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","1425179.569","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CHN","Chine, continentale","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1422584.933","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","23558.332","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","23420.111","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","TWN","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","23317.145","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","1317.309","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","1331.37","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CYP","Chypre","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1344.976","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","51188.173","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","51737.944","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COL","Colombie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","52321.152","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","818.174","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","834.188","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COM","Comores","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","850.387","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","5892.183","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","6035.104","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","COG","Congo","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","6182.885","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","5059.988","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","5081.765","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CRI","Costa Rica","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","5105.525","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","29639.736","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","30395.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CIV","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","31165.654","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","3924.61","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","3907.027","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","HRV","Croatie","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","3896.023","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","11122.168","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","11059.82","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUB","Cuba","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","11019.931","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","185.315","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","185.345","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CUW","Curaçao","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","185.427","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","5856.776","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","5902.904","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DNK","Danemark","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","5948.136","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","1121.248","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","1137.096","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DJI","Djibouti","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1152.944","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DMA","Dominique","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","67.202","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DMA","Dominique","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","66.826","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DMA","Dominique","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","66.51","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","EGY","Égypte","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","110957.008","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","EGY","Égypte","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","112618.25","X","Ciffre de sources internationales",""
