Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","BRA","Brésil","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","8686206","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BGR","Bulgarie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","79739.24","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BGR","Bulgarie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","129852","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BGR","Bulgarie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","22499.69","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BGR","Bulgarie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","62069","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BFA","Burkina Faso","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","49.72","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BFA","Burkina Faso","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","120","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BFA","Burkina Faso","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BFA","Burkina Faso","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BDI","Burundi","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","121.07","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BDI","Burundi","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","146","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BDI","Burundi","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","BDI","Burundi","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","CPV","Cabo Verde","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","11203.22","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CPV","Cabo Verde","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","18515","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","CPV","Cabo Verde","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","CPV","Cabo Verde","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","","",""
"TCL","Cultures et produits animaux","KHM","Cambodge","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","880.94","A","Chiffre officiel",""
