Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","CPV","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","89.02","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","KHM","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2724","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","KHM","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","7.43","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CMR","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2840","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CMR","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","16.8","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CAN","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3606","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CAN","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","153.72","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHL","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3106","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHL","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","144.18","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","F351","Chine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3441","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","F351","Chine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","80.83","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HKG","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2996","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HKG","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","185.97","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","MAC","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2937","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","MAC","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","196.81","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3452","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","78.89","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","TWN","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2957","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","TWN","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","160.09","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CYP","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3037","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CYP","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","112.02","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COL","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3112","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COL","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","138.46","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COM","Comores","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2416","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COM","Comores","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","87.26","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COG","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2191","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COG","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","103.74","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CRI","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2942","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CRI","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","121.71","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CIV","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2953","E","Valeur estimée",""
