"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Chine, continentale [CHN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","0.80126","Ciffre de sources internationales",""
"Chine, continentale [CHN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","12597.889086","Ciffre de sources internationales",""
"Chypre [CYP]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-1.500767","Ciffre de sources internationales",""
"Chypre [CYP]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","23340.852122","Ciffre de sources internationales",""
"Colombie [COL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","7.220407","Ciffre de sources internationales",""
"Colombie [COL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","6630.282452","Ciffre de sources internationales",""
"Comores [COM]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-5.560705","Ciffre de sources internationales",""
"Comores [COM]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1489.752341","Ciffre de sources internationales",""
"Congo [COG]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","1.771686","Ciffre de sources internationales",""
"Congo [COG]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","2570.136581","Ciffre de sources internationales",""
"Costa Rica [CRI]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.276792","Ciffre de sources internationales",""
"Costa Rica [CRI]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","13198.821717","Ciffre de sources internationales",""
"Croatie [HRV]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","4.173269","Ciffre de sources internationales",""
"Croatie [HRV]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","17753.268148","Ciffre de sources internationales",""
"Cuba [CUB]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","16.6393","Ciffre de sources internationales",""
"Cuba [CUB]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","13128.020768","Ciffre de sources internationales",""
"Curaçao [CUW]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","11.765061","Ciffre de sources internationales",""
"Curaçao [CUW]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","16086.694782","Ciffre de sources internationales",""
"Côte d'Ivoire [CIV]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.858335","Ciffre de sources internationales",""
"Côte d'Ivoire [CIV]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","2486.412194","Ciffre de sources internationales",""
"Danemark [DNK]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-1.830732","Ciffre de sources internationales",""
"Danemark [DNK]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","68029.486782","Ciffre de sources internationales",""
"Djibouti [DJI]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","6.684685","Ciffre de sources internationales",""
"Djibouti [DJI]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3571.817567","Ciffre de sources internationales",""
"Dominique [DMA]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","9.733477","Ciffre de sources internationales",""
"Dominique [DMA]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","8414.536593","Ciffre de sources internationales",""
"El Salvador [SLV]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","9.926616","Ciffre de sources internationales",""
"El Salvador [SLV]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","5127.32093","Ciffre de sources internationales",""
"Espagne [ESP]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.207424","Ciffre de sources internationales",""
"Espagne [ESP]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","29771.135983","Ciffre de sources internationales",""
