"","","","","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","","Unité","Valeur","Description du Symbole"
"France [FRA]","Honduras [HND]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Hongrie [HUN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","911.19","Chiffre officiel"
"France [FRA]","Hongrie [HUN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2059","Chiffre officiel"
"France [FRA]","Iles Canton et Enderbury [34]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Iles Canton et Enderbury [34]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Inde [IND]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Inde [IND]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Indonésie [IDN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Indonésie [IDN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Iran (République islamique d') [IRN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Iran (République islamique d') [IRN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Iraq [IRQ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Iraq [IRQ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Irlande [IRL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","141.4","Chiffre officiel"
"France [FRA]","Irlande [IRL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","565","Chiffre officiel"
"France [FRA]","Islande [ISL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","20.99","Chiffre officiel"
"France [FRA]","Islande [ISL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","77","Chiffre officiel"
"France [FRA]","Israël [ISR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Israël [ISR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Italie [ITA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3962.22","Chiffre officiel"
"France [FRA]","Italie [ITA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","8146","Chiffre officiel"
"France [FRA]","Jamaïque [JAM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Jamaïque [JAM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Japon [JPN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","71.22","Chiffre officiel"
"France [FRA]","Japon [JPN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","406","Chiffre officiel"
"France [FRA]","Jordanie [JOR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Jordanie [JOR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kazakhstan [KAZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kazakhstan [KAZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kenya [KEN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kenya [KEN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kirghizistan [KGZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kirghizistan [KGZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kiribati [KIR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Kiribati [KIR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Koweït [KWT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1476.28","Chiffre officiel"
"France [FRA]","Koweït [KWT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3361","Chiffre officiel"
"France [FRA]","Lesotho [LSO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Lesotho [LSO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Lettonie [LVA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","220.98","Chiffre officiel"
"France [FRA]","Lettonie [LVA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","926","Chiffre officiel"
"France [FRA]","Liban [LBN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","8.13","Chiffre officiel"
"France [FRA]","Liban [LBN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","20","Chiffre officiel"
"France [FRA]","Libye [LBY]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","286.66","Chiffre officiel"
