"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Fédération de Russie [RUS]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3454","Valeur estimée",""
"Fédération de Russie [RUS]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","129.38","Valeur estimée",""
"Gabon [GAB]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2552","Valeur estimée",""
"Gabon [GAB]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","143.08","Valeur estimée",""
"Gambie [GMB]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2452","Valeur estimée",""
"Gambie [GMB]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","76.98","Valeur estimée",""
"Ghana [GHA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3102","Valeur estimée",""
"Ghana [GHA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","35.96","Valeur estimée",""
"Grenade [GRD]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2613","Valeur estimée",""
"Grenade [GRD]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","185.89","Valeur estimée",""
"Grèce [GRC]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3398","Valeur estimée",""
"Grèce [GRC]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","98.55","Valeur estimée",""
"Guatemala [GTM]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2791","Valeur estimée",""
"Guatemala [GTM]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","111.52","Valeur estimée",""
"Guinée [GIN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2913","Valeur estimée",""
"Guinée [GIN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","17.38","Valeur estimée",""
"Guinée-Bissau [GNB]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2291","Valeur estimée",""
"Guinée-Bissau [GNB]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","11.11","Valeur estimée",""
"Guyana [GUY]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3253","Valeur estimée",""
"Guyana [GUY]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","249.03","Valeur estimée",""
"Géorgie [GEO]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3106","Valeur estimée",""
"Géorgie [GEO]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","72.54","Valeur estimée",""
"Haïti [HTI]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","1978","Valeur estimée",""
"Haïti [HTI]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","37.36","Valeur estimée",""
"Honduras [HND]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2654","Valeur estimée",""
"Honduras [HND]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","98.26","Valeur estimée",""
"Hongrie [HUN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3430","Valeur estimée",""
