"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Cambodge [KHM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Cambodge [KHM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Cambodge [KHM]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","880.94","Chiffre officiel [A]",""
"Cambodge [KHM]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1504","Chiffre officiel [A]",""
"Cameroun [CMR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1011.21","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Cameroun [CMR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1760","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Cameroun [CMR]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2060.18","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Cameroun [CMR]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2615","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Canada [CAN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","63545.76","Chiffre officiel [A]",""
"Canada [CAN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","139069","Chiffre officiel [A]",""
"Canada [CAN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","148484.18","Chiffre officiel [A]",""
"Canada [CAN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","459759","Chiffre officiel [A]",""
"Chili [CHL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","143670.24","Chiffre officiel [A]",""
"Chili [CHL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","526099","Chiffre officiel [A]",""
"Chili [CHL]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","153699.72","Chiffre officiel [A]",""
"Chili [CHL]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","320124","Chiffre officiel [A]",""
"Chine - RAS de Hong-Kong [HKG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","36901.39","Chiffre officiel [A]",""
"Chine - RAS de Hong-Kong [HKG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","47767","Chiffre officiel [A]",""
"Chine - RAS de Hong-Kong [HKG]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","215834.01","Chiffre officiel [A]",""
"Chine - RAS de Hong-Kong [HKG]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","580713","Chiffre officiel [A]",""
"Chine - RAS de Macao [MAC]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Chine - RAS de Macao [MAC]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Chine - RAS de Macao [MAC]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","25543.79","Chiffre officiel [A]",""
"Chine - RAS de Macao [MAC]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","66916","Chiffre officiel [A]",""
"Chine [F351]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","263982.93","Chiffre officiel [A]",""
"Chine [F351]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","646026","Chiffre officiel [A]",""
"Chine [F351]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1757302.49","Chiffre officiel [A]",""
"Chine [F351]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","5027424","Chiffre officiel [A]",""
"Chine, Taiwan Province de [TWN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","377.21","Chiffre officiel [A]",""
"Chine, Taiwan Province de [TWN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","441","Chiffre officiel [A]",""
"Chine, Taiwan Province de [TWN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","217713.62","Chiffre officiel [A]",""
"Chine, Taiwan Province de [TWN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","271752","Chiffre officiel [A]",""
"Chine, continentale [CHN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","226704.33","Chiffre officiel [A]",""
"Chine, continentale [CHN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","597818","Chiffre officiel [A]",""
"Chine, continentale [CHN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1298211.07","Chiffre officiel [A]",""
"Chine, continentale [CHN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4108042","Chiffre officiel [A]",""
"Chypre [CYP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","825.9","Chiffre officiel [A]",""
"Chypre [CYP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","587","Chiffre officiel [A]",""
"Chypre [CYP]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","12655.46","Chiffre officiel [A]",""
"Chypre [CYP]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","38803","Chiffre officiel [A]",""
"Colombie [COL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Colombie [COL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Colombie [COL]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","63544.55","Chiffre officiel [A]",""
"Colombie [COL]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","89933","Chiffre officiel [A]",""
"Comores [COM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Comores [COM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Comores [COM]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","13415.68","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Comores [COM]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","23136","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Congo [COG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","75","Chiffre officiel [A]",""
"Congo [COG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","137","Chiffre officiel [A]",""
"Congo [COG]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","152771","Chiffre officiel [A]",""
"Congo [COG]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","186511","Chiffre officiel [A]",""
"Costa Rica [CRI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1056.47","Chiffre officiel [A]",""
"Costa Rica [CRI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2168","Chiffre officiel [A]",""
"Costa Rica [CRI]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","16352.53","Chiffre officiel [A]",""
"Costa Rica [CRI]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","23976","Chiffre officiel [A]",""
"Croatie [HRV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","8761.31","Chiffre officiel [A]",""
