"","","","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]"
"","","","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note","Unité","Valeur","Description du Symbole","Note"
"Dominique [DMA]","Population totale [511]","Population-Estimations [3010]","1000 No","67.202","Ciffre de sources internationales [X]","","1000 No","66.826","Ciffre de sources internationales [X]","","1000 No","66.51","Ciffre de sources internationales [X]",""
"El Salvador [SLV]","Population totale [511]","Population-Estimations [3010]","1000 No","6255.782","Ciffre de sources internationales [X]","","1000 No","6280.319","Ciffre de sources internationales [X]","","1000 No","6309.624","Ciffre de sources internationales [X]",""
"Espagne [ESP]","Population totale [511]","Population-Estimations [3010]","1000 No","47735.664","Ciffre de sources internationales [X]","","1000 No","47828.382","Ciffre de sources internationales [X]","","1000 No","47911.579","Ciffre de sources internationales [X]",""
"Estonie [EST]","Population totale [511]","Population-Estimations [3010]","1000 No","1331.749","Ciffre de sources internationales [X]","","1000 No","1350.091","Ciffre de sources internationales [X]","","1000 No","1367.196","Ciffre de sources internationales [X]",""
"Eswatini [SWZ]","Population totale [511]","Population-Estimations [3010]","1000 No","1206.593","Ciffre de sources internationales [X]","","1000 No","1218.917","Ciffre de sources internationales [X]","","1000 No","1230.506","Ciffre de sources internationales [X]",""
"Fidji [FJI]","Population totale [511]","Population-Estimations [3010]","1000 No","916.711","Ciffre de sources internationales [X]","","1000 No","919.422","Ciffre de sources internationales [X]","","1000 No","924.145","Ciffre de sources internationales [X]",""
"Finlande [FIN]","Population totale [511]","Population-Estimations [3010]","1000 No","5541.075","Ciffre de sources internationales [X]","","1000 No","5569.299","Ciffre de sources internationales [X]","","1000 No","5601.185","Ciffre de sources internationales [X]",""
"France [FRA]","Population totale [511]","Population-Estimations [3010]","1000 No","66083.548","Ciffre de sources internationales [X]","","1000 No","66277.409","Ciffre de sources internationales [X]","","1000 No","66438.822","Ciffre de sources internationales [X]",""
"Fédération de Russie [RUS]","Population totale [511]","Population-Estimations [3010]","1000 No","145836.175","Ciffre de sources internationales [X]","","1000 No","145579.899","Ciffre de sources internationales [X]","","1000 No","145440.5","Ciffre de sources internationales [X]",""
"Gabon [GAB]","Population totale [511]","Population-Estimations [3010]","1000 No","2376.722","Ciffre de sources internationales [X]","","1000 No","2430.747","Ciffre de sources internationales [X]","","1000 No","2484.789","Ciffre de sources internationales [X]",""
"Gambie [GMB]","Population totale [511]","Population-Estimations [3010]","1000 No","2576.01","Ciffre de sources internationales [X]","","1000 No","2636.47","Ciffre de sources internationales [X]","","1000 No","2697.845","Ciffre de sources internationales [X]",""
"Ghana [GHA]","Population totale [511]","Population-Estimations [3010]","1000 No","32518.665","Ciffre de sources internationales [X]","","1000 No","33149.152","Ciffre de sources internationales [X]","","1000 No","33787.914","Ciffre de sources internationales [X]",""
"Gibraltar [GIB]","Population totale [511]","Population-Estimations [3010]","1000 No","36.858","Ciffre de sources internationales [X]","","1000 No","37.609","Ciffre de sources internationales [X]","","1000 No","38.471","Ciffre de sources internationales [X]",""
"Grenade [GRD]","Population totale [511]","Population-Estimations [3010]","1000 No","116.688","Ciffre de sources internationales [X]","","1000 No","116.913","Ciffre de sources internationales [X]","","1000 No","117.081","Ciffre de sources internationales [X]",""
"Groenland [GRL]","Population totale [511]","Population-Estimations [3010]","1000 No","56.041","Ciffre de sources internationales [X]","","1000 No","55.99","Ciffre de sources internationales [X]","","1000 No","55.922","Ciffre de sources internationales [X]",""
"Grèce [GRC]","Population totale [511]","Population-Estimations [3010]","1000 No","10579.561","Ciffre de sources internationales [X]","","1000 No","10412.48","Ciffre de sources internationales [X]","","1000 No","10242.908","Ciffre de sources internationales [X]",""
"Guadeloupe [GLP]","Population totale [511]","Population-Estimations [3010]","1000 No","399.151","Ciffre de sources internationales [X]","","1000 No","384.697","Ciffre de sources internationales [X]","","1000 No","376.517","Ciffre de sources internationales [X]",""
"Guam [GUM]","Population totale [511]","Population-Estimations [3010]","1000 No","163.73","Ciffre de sources internationales [X]","","1000 No","165.18","Ciffre de sources internationales [X]","","1000 No","166.506","Ciffre de sources internationales [X]",""
"Guatemala [GTM]","Population totale [511]","Population-Estimations [3010]","1000 No","17598.65","Ciffre de sources internationales [X]","","1000 No","17847.877","Ciffre de sources internationales [X]","","1000 No","18124.838","Ciffre de sources internationales [X]",""
"Guinée [GIN]","Population totale [511]","Population-Estimations [3010]","1000 No","13710.513","Ciffre de sources internationales [X]","","1000 No","14055.137","Ciffre de sources internationales [X]","","1000 No","14405.468","Ciffre de sources internationales [X]",""
"Guinée équatoriale [GNQ]","Population totale [511]","Population-Estimations [3010]","1000 No","1758.786","Ciffre de sources internationales [X]","","1000 No","1803.545","Ciffre de sources internationales [X]","","1000 No","1847.549","Ciffre de sources internationales [X]",""
"Guinée-Bissau [GNB]","Population totale [511]","Population-Estimations [3010]","1000 No","2058.841","Ciffre de sources internationales [X]","","1000 No","2105.529","Ciffre de sources internationales [X]","","1000 No","2153.339","Ciffre de sources internationales [X]",""
"Guyana [GUY]","Population totale [511]","Population-Estimations [3010]","1000 No","815.482","Ciffre de sources internationales [X]","","1000 No","821.637","Ciffre de sources internationales [X]","","1000 No","826.353","Ciffre de sources internationales [X]",""
"Guyane française [GUF]","Population totale [511]","Population-Estimations [3010]","1000 No","293.015","Ciffre de sources internationales [X]","","1000 No","298.306","Ciffre de sources internationales [X]","","1000 No","303.402","Ciffre de sources internationales [X]",""
"Géorgie [GEO]","Population totale [511]","Population-Estimations [3010]","1000 No","3788.451","Ciffre de sources internationales [X]","","1000 No","3794.784","Ciffre de sources internationales [X]","","1000 No","3807.492","Ciffre de sources internationales [X]",""
"Haïti [HTI]","Population totale [511]","Population-Estimations [3010]","1000 No","11374.586","Ciffre de sources internationales [X]","","1000 No","11503.606","Ciffre de sources internationales [X]","","1000 No","11637.398","Ciffre de sources internationales [X]",""
