Code Domaine,Domaine,Code pays déclarant (ISO3),Pays déclarants,Code pays partenaire (ISO3),Pays partenaires,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce détaillées","FRA","France","GAB","Gabon","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1515.27","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GAB","Gabon","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","2588","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GMB","Gambie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2.53","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GMB","Gambie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","6","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GEO","Géorgie","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1375.97","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GEO","Géorgie","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","1091","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SGS","Géorgie du Sud-et-Îles Sandwich du Sud","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","SGS","Géorgie du Sud-et-Îles Sandwich du Sud","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
"TM","Matrices du commerce détaillées","FRA","France","GHA","Ghana","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","621.09","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GHA","Ghana","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","460","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GRC","Grèce","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","723.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GRC","Grèce","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","3024","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","GRD","Grenade","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","","","",""
